image,ALB,BET,DOL,LAG,NoF,OTHER,SHARK,YFT
img_00005.jpg,0.005000,0.005000,0.005000,0.005000,0.995000,0.005000,0.005000,0.005000
img_00007.jpg,0.468324,0.005000,0.005000,0.005000,0.005000,0.005000,0.005000,0.046099
img_00009.jpg,0.241086,0.133443,0.103203,0.023822,0.098735,0.111112,0.095456,0.129936
img_00018.jpg,0.969428,0.005000,0.005000,0.005000,0.005000,0.005000,0.005000,0.005000
img_00027.jpg,0.072976,0.005000,0.005000,0.005000,0.005000,0.005000,0.005000,0.657333
img_00030.jpg,0.241086,0.133443,0.103203,0.023822,0.098735,0.111112,0.095456,0.129936
img_00040.jpg,0.085411,0.005000,0.005000,0.005000,0.005000,0.005000,0.005000,0.035405
img_00046.jpg,0.995000,0.005000,0.005000,0.005000,0.005000,0.005000,0.005000,0.005000
img_00053.jpg,0.995000,0.005000,0.005000,0.005000,0.005000,0.005000,0.005000,0.005000
img_00071.jpg,0.212723,0.005000,0.005000,0.005000,0.005000,0.005000,0.005000,0.005000
img_00075.jpg,0.993091,0.005000,0.005000,0.005000,0.005000,0.005000,0.005000,0.005000
img_00102.jpg,0.064861,0.005000,0.005000,0.005000,0.005000,0.112272,0.005000,0.282071
img_00103.jpg,0.117105,0.005000,0.005000,0.005000,0.005000,0.348065,0.005000,0.007124
img_00109.jpg,0.995000,0.005000,0.005000,0.005000,0.005000,0.005000,0.005000,0.005000
img_00119.jpg,0.005000,0.005000,0.005000,0.005000,0.995000,0.005000,0.005000,0.005000
img_00120.jpg,0.738974,0.005000,0.005000,0.005000,0.005000,0.005000,0.005000,0.045222
img_00125.jpg,0.995000,0.005000,0.005000,0.005000,0.005000,0.005000,0.005000,0.005000
img_00128.jpg,0.005000,0.005000,0.005000,0.005000,0.005000,0.005000,0.005000,0.995000
img_00129.jpg,0.015036,0.005000,0.005000,0.005000,0.005000,0.005000,0.014738,0.318338
img_00133.jpg,0.005000,0.005000,0.005000,0.005000,0.995000,0.005000,0.005000,0.005000
img_00138.jpg,0.800229,0.005000,0.005000,0.005000,0.005000,0.005000,0.005000,0.005000
img_00141.jpg,0.005000,0.005000,0.005000,0.005000,0.005000,0.005000,0.005000,0.995000
img_00152.jpg,0.005000,0.005000,0.005000,0.005000,0.005000,0.005000,0.005000,0.995000
img_00161.jpg,0.005000,0.005000,0.005000,0.005000,0.005000,0.005000,0.005000,0.995000
img_00164.jpg,0.005000,0.005000,0.005000,0.005000,0.005000,0.005000,0.005000,0.005000
img_00170.jpg,0.836537,0.005000,0.005000,0.005000,0.005000,0.005000,0.005000,0.005147
img_00171.jpg,0.068681,0.005000,0.005000,0.005000,0.005000,0.296970,0.005000,0.005000
img_00172.jpg,0.005000,0.005000,0.005000,0.005000,0.995000,0.005000,0.005000,0.005000
img_00175.jpg,0.541831,0.005000,0.005000,0.005000,0.005000,0.020154,0.005000,0.005000
img_00180.jpg,0.005000,0.005000,0.005000,0.005000,0.989556,0.005000,0.005000,0.005000
img_00196.jpg,0.005000,0.005000,0.005000,0.005000,0.995000,0.005000,0.005000,0.005000
img_00212.jpg,0.035420,0.079398,0.005000,0.005000,0.005000,0.005000,0.005000,0.167728
img_00223.jpg,0.995000,0.005000,0.005000,0.005000,0.005000,0.005000,0.005000,0.005000
img_00230.jpg,0.241086,0.133443,0.103203,0.023822,0.098735,0.111112,0.095456,0.129936
img_00232.jpg,0.080729,0.005000,0.005000,0.005000,0.005000,0.005000,0.918627,0.005000
img_00244.jpg,0.995000,0.005000,0.005000,0.005000,0.005000,0.005000,0.005000,0.005000
img_00272.jpg,0.995000,0.005000,0.005000,0.005000,0.005000,0.005000,0.005000,0.005000
img_00280.jpg,0.907874,0.005000,0.005000,0.005000,0.005000,0.005000,0.005000,0.005000
img_00282.jpg,0.378634,0.005000,0.005000,0.005000,0.005000,0.040768,0.005000,0.005000
img_00285.jpg,0.441723,0.005000,0.005000,0.005000,0.029871,0.005000,0.005000,0.045705
img_00289.jpg,0.995000,0.005000,0.005000,0.005000,0.005000,0.005000,0.005000,0.005000
img_00292.jpg,0.005000,0.005000,0.005000,0.005000,0.005000,0.005000,0.005000,0.995000
img_00302.jpg,0.054669,0.005000,0.005000,0.005000,0.005000,0.005000,0.005000,0.042778
img_00311.jpg,0.995000,0.005000,0.005000,0.005000,0.005000,0.005000,0.005000,0.005000
img_00320.jpg,0.995000,0.005000,0.005000,0.005000,0.005000,0.005000,0.005000,0.005000
img_00331.jpg,0.908466,0.005000,0.005000,0.005000,0.005000,0.005000,0.005000,0.005000
img_00358.jpg,0.273951,0.005000,0.005000,0.005000,0.005000,0.005000,0.005000,0.579004
img_00374.jpg,0.995000,0.005000,0.005000,0.005000,0.005000,0.005000,0.005000,0.005000
img_00375.jpg,0.995000,0.005000,0.005000,0.005000,0.005000,0.005000,0.005000,0.005000
img_00376.jpg,0.820944,0.005000,0.005000,0.005000,0.005000,0.005000,0.005000,0.005000
img_00380.jpg,0.039432,0.005000,0.005000,0.005000,0.262854,0.005000,0.005000,0.005000
img_00383.jpg,0.995000,0.005000,0.005000,0.005000,0.005000,0.005000,0.005000,0.005000
img_00398.jpg,0.241086,0.133443,0.103203,0.023822,0.098735,0.111112,0.095456,0.129936
img_00407.jpg,0.994659,0.005000,0.005000,0.005000,0.005000,0.005000,0.005000,0.005000
img_00417.jpg,0.020919,0.461528,0.005000,0.005000,0.005000,0.005000,0.005000,0.144090
img_00432.jpg,0.005000,0.005000,0.005000,0.005000,0.753859,0.005000,0.005000,0.005000
img_00442.jpg,0.005000,0.005000,0.005000,0.005000,0.005000,0.005000,0.005000,0.995000
img_00446.jpg,0.995000,0.005000,0.005000,0.005000,0.005000,0.005000,0.005000,0.005000
img_00469.jpg,0.995000,0.005000,0.005000,0.005000,0.005000,0.005000,0.005000,0.005000
img_00473.jpg,0.241086,0.133443,0.103203,0.023822,0.098735,0.111112,0.095456,0.129936
img_00483.jpg,0.995000,0.005000,0.005000,0.005000,0.005000,0.005000,0.005000,0.005000
img_00484.jpg,0.222737,0.005000,0.005000,0.005000,0.005000,0.005000,0.005000,0.033751
img_00486.jpg,0.995000,0.005000,0.005000,0.005000,0.005000,0.005000,0.005000,0.005000
img_00487.jpg,0.005000,0.005000,0.005000,0.005000,0.995000,0.005000,0.005000,0.005000
img_00493.jpg,0.995000,0.005000,0.005000,0.005000,0.005000,0.005000,0.005000,0.005000
img_00518.jpg,0.995000,0.005000,0.005000,0.005000,0.005000,0.005000,0.005000,0.005000
img_00533.jpg,0.194980,0.031329,0.005000,0.005000,0.011139,0.009179,0.320909,0.040459
img_00538.jpg,0.985666,0.005000,0.005000,0.005000,0.005000,0.005000,0.005000,0.005000
img_00543.jpg,0.995000,0.005000,0.005000,0.005000,0.005000,0.005000,0.005000,0.005000
img_00550.jpg,0.005000,0.005000,0.005000,0.005000,0.005000,0.005000,0.005000,0.005000
img_00551.jpg,0.995000,0.005000,0.005000,0.005000,0.005000,0.005000,0.005000,0.005000
img_00564.jpg,0.005000,0.005000,0.005000,0.005000,0.995000,0.005000,0.005000,0.005000
img_00575.jpg,0.490154,0.005000,0.005000,0.005000,0.005052,0.025817,0.005000,0.029633
img_00582.jpg,0.995000,0.005000,0.005000,0.005000,0.005000,0.005000,0.005000,0.005000
img_00584.jpg,0.995000,0.005000,0.005000,0.005000,0.005000,0.005000,0.005000,0.005000
img_00587.jpg,0.074192,0.005000,0.005000,0.005000,0.005000,0.005000,0.005000,0.894443
img_00590.jpg,0.120464,0.005000,0.005000,0.005000,0.005000,0.005000,0.005000,0.865138
img_00591.jpg,0.019099,0.005000,0.005000,0.005000,0.005000,0.005000,0.005000,0.944274
img_00598.jpg,0.995000,0.005000,0.005000,0.005000,0.005000,0.005000,0.005000,0.005000
img_00599.jpg,0.241086,0.133443,0.103203,0.023822,0.098735,0.111112,0.095456,0.129936
img_00612.jpg,0.005000,0.005000,0.005000,0.005000,0.005000,0.995000,0.005000,0.005000
img_00618.jpg,0.995000,0.005000,0.005000,0.005000,0.005000,0.005000,0.005000,0.005000
img_00620.jpg,0.995000,0.005000,0.005000,0.005000,0.005000,0.005000,0.005000,0.005000
img_00642.jpg,0.461091,0.005000,0.005000,0.005000,0.005000,0.005000,0.005000,0.157054
img_00646.jpg,0.005000,0.005000,0.005000,0.005000,0.005000,0.005000,0.005000,0.995000
img_00648.jpg,0.995000,0.005000,0.005000,0.005000,0.005000,0.005000,0.005000,0.005000
img_00650.jpg,0.995000,0.005000,0.005000,0.005000,0.005000,0.005000,0.005000,0.005000
img_00654.jpg,0.041805,0.005000,0.005000,0.005000,0.364216,0.005000,0.005000,0.005000
img_00664.jpg,0.995000,0.005000,0.005000,0.005000,0.005000,0.005000,0.005000,0.005000
img_00667.jpg,0.005000,0.005000,0.005000,0.005000,0.995000,0.005000,0.005000,0.005000
img_00676.jpg,0.005000,0.005000,0.005000,0.005000,0.995000,0.005000,0.005000,0.005000
img_00697.jpg,0.005000,0.005000,0.005000,0.005000,0.005000,0.005000,0.005000,0.995000
img_00708.jpg,0.144519,0.062081,0.023198,0.005143,0.027990,0.177916,0.031819,0.079383
img_00716.jpg,0.005000,0.005000,0.005000,0.005000,0.005000,0.005000,0.005000,0.988929
img_00717.jpg,0.534159,0.005000,0.005000,0.005000,0.005000,0.020424,0.005000,0.005000
img_00718.jpg,0.995000,0.005000,0.005000,0.005000,0.005000,0.005000,0.005000,0.005000
img_00723.jpg,0.005000,0.005000,0.005000,0.005000,0.977391,0.005000,0.005000,0.005000
img_00724.jpg,0.005000,0.005000,0.005000,0.005000,0.081149,0.005000,0.005000,0.005000
img_00726.jpg,0.995000,0.005000,0.005000,0.005000,0.005000,0.005000,0.005000,0.005000
img_00729.jpg,0.995000,0.005000,0.005000,0.005000,0.005000,0.005000,0.005000,0.005000
img_00730.jpg,0.005107,0.005000,0.005000,0.005000,0.005000,0.005000,0.005000,0.979339
img_00757.jpg,0.995000,0.005000,0.005000,0.005000,0.005000,0.005000,0.005000,0.005000
img_00760.jpg,0.241086,0.133443,0.103203,0.023822,0.098735,0.111112,0.095456,0.129936
img_00763.jpg,0.005000,0.005000,0.005000,0.005000,0.005000,0.005000,0.005000,0.005000
img_00764.jpg,0.005000,0.005000,0.005000,0.005000,0.005000,0.005000,0.005000,0.995000
img_00765.jpg,0.241086,0.133443,0.103203,0.023822,0.098735,0.111112,0.095456,0.129936
img_00772.jpg,0.005000,0.005000,0.005000,0.005000,0.005000,0.005000,0.005000,0.995000
img_00773.jpg,0.995000,0.005000,0.005000,0.005000,0.005000,0.005000,0.005000,0.005000
img_00777.jpg,0.995000,0.005000,0.005000,0.005000,0.005000,0.005000,0.005000,0.005000
img_00780.jpg,0.005000,0.005000,0.005000,0.005000,0.005000,0.005000,0.005000,0.995000
img_00798.jpg,0.995000,0.005000,0.005000,0.005000,0.005000,0.005000,0.005000,0.005000
img_00808.jpg,0.995000,0.005000,0.005000,0.005000,0.005000,0.005000,0.005000,0.005000
img_00816.jpg,0.995000,0.005000,0.005000,0.005000,0.005000,0.005000,0.005000,0.005000
img_00828.jpg,0.005000,0.005000,0.005000,0.005000,0.995000,0.005000,0.005000,0.005000
img_00833.jpg,0.241086,0.133443,0.103203,0.023822,0.098735,0.111112,0.095456,0.129936
img_00837.jpg,0.995000,0.005000,0.005000,0.005000,0.005000,0.005000,0.005000,0.005000
img_00855.jpg,0.064490,0.005000,0.005000,0.005000,0.005000,0.031793,0.005000,0.344047
img_00857.jpg,0.995000,0.005000,0.005000,0.005000,0.005000,0.005000,0.005000,0.005000
img_00858.jpg,0.995000,0.005000,0.005000,0.005000,0.005000,0.005000,0.005000,0.005000
